Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
INT__ArmouredDurable__AND__CommandSupport__AND__RoleCommandLeader,interaction,0.008654788005401724,,,,,,,,ArmouredDurable | CommandSupport | RoleCommandLeader,3,10,0.008654788005401724
INT__ArmouredDurable__AND__CommandSupport__AND__SecretMissionTarget,interaction,-0.0131526546546197,,,,,,,,ArmouredDurable | CommandSupport | SecretMissionTarget,3,8,0.0131526546546197
INT__ArmouredDurable__AND__CommandSupport__AND__SupportAuraDurable,interaction,-0.0016507872429051623,,,,,,,,ArmouredDurable | CommandSupport | SupportAuraDurable,3,11,0.0016507872429051623
INT__ArmouredDurable__AND__CommandSupport__AND__TacticianDurable,interaction,-0.0016507872429051623,,,,,,,,ArmouredDurable | CommandSupport | TacticianDurable,3,11,0.0016507872429051623
INT__ArmouredDurable__AND__EliteAllRounder__AND__HasSpecialOrder,interaction,-0.010002876676214604,,,,,,,,ArmouredDurable | EliteAllRounder | HasSpecialOrder,3,3,0.010002876676214604
INT__ArmouredDurable__AND__EliteAllRounder__AND__HasTactician,interaction,0.007659844514949732,,,,,,,,ArmouredDurable | EliteAllRounder | HasTactician,3,4,0.007659844514949732
INT__ArmouredDurable__AND__EliteAllRounder__AND__IsLeader,interaction,-0.010002876676214604,,,,,,,,ArmouredDurable | EliteAllRounder | IsLeader,3,3,0.010002876676214604
INT__ArmouredDurable__AND__EliteAllRounder__AND__IsSpecialist,interaction,0.05206447187562991,,,,,,,,ArmouredDurable | EliteAllRounder | IsSpecialist,3,5,0.05206447187562991
INT__ArmouredDurable__AND__EliteAllRounder__AND__IsTroop,interaction,0.04047631499780296,,,,,,,,ArmouredDurable | EliteAllRounder | IsTroop,3,4,0.04047631499780296
INT__ArmouredDurable__AND__EliteAllRounder__AND__KW_Life Support,interaction,0.08858126862457981,,,,,,,,ArmouredDurable | EliteAllRounder | KW_Life Support,3,7,0.08858126862457981
INT__ArmouredDurable__AND__EliteAllRounder__AND__KW_Recon(5+),interaction,-0.010002876676214604,,,,,,,,ArmouredDurable | EliteAllRounder | KW_Recon(5+),3,3,0.010002876676214604
INT__ArmouredDurable__AND__EliteAllRounder__AND__KW_Solid,interaction,0.14024183985372518,,,,,,,,ArmouredDurable | EliteAllRounder | KW_Solid,3,10,0.14024183985372518
INT__ArmouredDurable__AND__EliteAllRounder__AND__RoleCommandLeader,interaction,0.007659844514949732,,,,,,,,ArmouredDurable | EliteAllRounder | RoleCommandLeader,3,4,0.007659844514949732
INT__ArmouredDurable__AND__EliteAllRounder__AND__SecretMissionTarget,interaction,0.042061595199415325,,,,,,,,ArmouredDurable | EliteAllRounder | SecretMissionTarget,3,8,0.042061595199415325
INT__ArmouredDurable__AND__EliteAllRounder__AND__SupportAuraDurable,interaction,0.007659844514949732,,,,,,,,ArmouredDurable | EliteAllRounder | SupportAuraDurable,3,4,0.007659844514949732
INT__ArmouredDurable__AND__EliteAllRounder__AND__TacticianDurable,interaction,0.007659844514949732,,,,,,,,ArmouredDurable | EliteAllRounder | TacticianDurable,3,4,0.007659844514949732
INT__ArmouredDurable__AND__FireControlLongRangeAP__AND__KW_Fire Control,interaction,-0.028679362844223864,,,,,,,,ArmouredDurable | FireControlLongRangeAP | KW_Fire Control,3,9,0.028679362844223864
INT__ArmouredDurable__AND__FireControlLongRangeAP__AND__KW_Firing Platform(1),interaction,0.024562790833740834,,,,,,,,ArmouredDurable | FireControlLongRangeAP | KW_Firing Platform(1),3,7,0.024562790833740834
INT__ArmouredDurable__AND__FireControlLongRangeAP__AND__KW_Frenzy(1),interaction,0.023503313941198117,,,,,,,,ArmouredDurable | FireControlLongRangeAP | KW_Frenzy(1),3,3,0.023503313941198117
INT__ArmouredDurable__AND__FireControlLongRangeAP__AND__KW_Walker,interaction,-0.028679362844223864,,,,,,,,ArmouredDurable | FireControlLongRangeAP | KW_Walker,3,9,0.028679362844223864
INT__ArmouredDurable__AND__FireControlMultiWeapon__AND__KW_Fire Control,interaction,0.10291194936887899,,,,,,,,ArmouredDurable | FireControlMultiWeapon | KW_Fire Control,3,6,0.10291194936887899
